title,lead,director,genre,revenue,budget,profit_ratio,director_average_profit_ratio,lead_average_profit_ratio,lead_worked_in_genre_count,director_worked_in_genre_count,director_worked_with_lead_count
Tommy,420,469,6,34251525,5000000,6.850305,2.883207933,6.850305,1,1,1
Psycho II,425,473,10,34725000,5000000,6.945,6.945,6.945,1,1,1
Time Bandits,50,19,14,42365581,5000000,8.4731162,2.862096042,3.997717463,1,1,1
Nighthawks,16,483,4,19905359,5000000,3.9810718,4.3610359,2.825168668,19,2,1
Death Wish 5: The Face of Death,456,511,4,1702394,5000000,0.3404788,0.3404788,2.599196223,3,1,1
Force 10 from Navarone,85,527,4,7230000,5000000,1.446,7.692428571,3.675716323,5,1,1
Hellraiser III: Hell on Earth,514,570,10,12534961,5000000,2.5069922,2.5069922,2.5069922,1,1,1
Made,364,621,4,5476060,5000000,1.095212,2.920595106,2.615552154,1,1,1
Shocker,572,37,12,16554699,5000000,3.3109398,3.246226044,3.3109398,1,1,1
Lone Wolf McQuade,498,662,4,12232628,5000000,2.4465256,2.4465256,2.522912795,4,1,1
National Lampoon’s Van Wilder,625,687,3,38275483,5000000,7.6550966,5.144967014,4.817474783,2,2,1
Jackass: The Movie,657,726,18,64282312,5000000,12.8564624,8.864006241,7.534419696,1,1,4
This Is Elvis,663,444,6,2028612,5000000,0.4057224,0.4119649,0.4057224,1,1,1
Valley of the Dolls,695,428,16,50000000,5000000,10.0,10.69047521,10.0,1,1,1
Wonderland,185,786,7,2466444,5000000,0.4932888,0.4932888,1.338736457,1,1,1
Intermission,578,823,13,4856298,5000000,0.9712596,3.307272573,1.660990887,2,1,1
Juice,405,150,4,20146880,5000000,4.029376,1.735808848,3.402539651,1,5,1
Stay Hungry,34,848,3,24854765,5000000,4.970953,4.970953,2.456809232,3,1,1
The New Adventures of Pippi Longstocking,768,826,9,3569939,5000000,0.7139878,3.031101043,0.7139878,1,1,1
The Machinist,477,861,12,8203235,5000000,1.640647,1.854351877,2.329263613,3,2,1
Clerks II,864,60,3,26888376,5000000,5.3776752,1.766630049,5.3776752,1,5,1
Myra Breckinridge,906,987,3,3000000,5000000,0.6,0.6,0.6,1,1,1
Trailer Park Boys: The Movie,907,989,3,3833507,5000000,0.7667014,0.7667014,0.7667014,1,1,1
"War, Inc.",262,1063,4,1296184,5000000,0.2592368,0.2592368,1.619638501,1,1,1
Doctor Who,954,880,19,42000000,5000000,8.4,6.039362883,8.4,1,1,1
Bottle Shock,893,79,3,4040588,5000000,0.8081176,1.657642419,0.461628175,1,2,1
The Grudge 3,980,1105,11,38610009,5000000,7.7220018,7.7220018,7.7220018,1,1,1
Sunshine Cleaning,927,789,3,16174377,5000000,3.2348754,2.331723414,3.00030456,3,1,1
Moon,672,1107,8,9760104,5000000,1.9520208,3.278083791,1.469382644,1,1,1
The Egyptian,1032,199,5,15000000,5000000,3.0,2.479094934,3.0,1,1,1
Rabbit Hole,23,1181,6,5129058,5000000,1.0258116,1.0258116,1.533795823,4,1,1
Tucker and Dale vs Evil,1061,1183,3,5476793,5000000,1.0953586,1.0953586,1.0953586,1,1,1
Everything Must Go,1075,1200,3,2614773,5000000,0.5229546,0.5229546,0.5229546,1,1,1
Take Shelter,1098,1219,12,3099314,5000000,0.6198628,1.030851061,0.354483076,2,1,2
Flypaper,723,795,11,3142154,5000000,0.6284308,1.659817727,1.006351942,1,1,1
Apollo 18,1110,1238,10,25562924,5000000,5.1125848,5.1125848,5.1125848,1,1,1
Salmon Fishing in the Yemen,990,99,6,34564651,5000000,6.9129302,3.878701735,3.586376266,2,6,1
Bernie,710,71,3,9206470,5000000,1.841294,2.914270055,2.07900181,5,6,2
Piranha 3DD,1132,1267,10,8493728,5000000,1.6987456,1.6987456,1.6987456,1,1,1
The Last Exorcism Part II,1151,1301,10,15179302,5000000,3.0358604,3.0358604,3.0358604,1,1,1
Spring Breakers,846,1304,6,31724284,5000000,6.3448568,6.3448568,2.05999374,3,1,1
Filth,1063,1323,7,9114264,5000000,1.8228528,1.8228528,2.290350869,1,1,1
Dallas Buyers Club,143,1108,6,55198285,5000000,11.039657,3.880189655,2.505834104,3,3,1
Oculus,1187,1343,10,44030246,5000000,8.8060492,8.942232711,8.8060492,1,2,1
Moms' Night Out,1191,1347,3,10429707,5000000,2.0859414,2.0859414,2.0859414,1,1,1
"As Above, So Below",1203,1088,10,40100000,5000000,8.02,6.416677538,8.02,1,3,1
The Guest,1204,1364,11,2367161,5000000,0.4734322,4.7540155,0.4734322,1,1,1
My Old Lady,216,1369,13,7527232,5000000,1.5054464,1.5054464,5.200802937,1,1,1
Repentance,707,1384,10,1189612,5000000,0.2379224,0.2379224,2.684954454,1,1,1
Still Alice,441,1387,6,43884652,5000000,8.7769304,8.7769304,3.758542074,5,1,1
Kill the Messenger,996,1390,12,2450846,5000000,0.4901692,0.4901692,2.5954129,1,1,1
Solomon and Sheba,1220,554,6,12200000,5000000,2.44,2.641111111,2.44,1,2,1
The Green Inferno,1234,1004,4,6833445,5000000,1.366689,2.465157501,1.366689,1,1,1
The Gift,1009,1439,12,58978653,5000000,11.7957306,11.7957306,3.233611584,1,1,1
No Escape,598,1088,4,54418872,5000000,10.8837744,6.416677538,3.166471558,2,1,1
Green Room,1089,1448,10,3220371,5000000,0.6440742,0.6440742,1.055044071,2,1,1
