id,lead
878,Cillian Murphy
879,Steven Strait
880,Hugh Jackman
881,Rudy Youngblood
882,Sacha Baron Cohen
883,Dane Cook
884,Alex Pettyfer
885,Annette Bening
886,John Cena
887,Tiffany Dupont
888,Tim McGraw
889,Ben Whishaw
890,Adam Scott
891,Catherine O'Hara
892,Dax Shepard
893,Alan Rickman
894,Hilary Swank
895,Samuel Anderson
896,Judi Dench
897,Ken Watanabe
898,Katie Cassidy
899,George Carlin
900,Columbus Short
901,Freddie Highmore
902,Sean Bean
903,Josh Hutcherson
904,Kal Penn
905,Gaspard Ulliel
906,Raquel Welch
907,John Paul Tremblay
908,Gabrielle Union
909,Lennie Loftin
910,Ryan Kwanten
911,Joseph Gordon-Levitt
912,Javier Bardem
913,Karl Urban
914,Justin Chatwin
915,Thomas Turgoose
916,Seth Rogen
917,Imogen Poots
918,Jesse Lee Soffer
919,Lauren German
920,Jonah Hill
921,Colin Firth
922,Ryan Gosling
923,Omar Metwally
924,Casey Affleck
925,Tobin Bell
926,Ray Winstone
927,Amy Adams
928,Timothy Olyphant
929,Wes Bentley
930,Norah Jones
931,Khalid Abdalla
932,Steven Pasquale
933,John C. Reilly
934,Alexander Nathan Etel
935,Katherine Heigl
936,Lizzy Caplan
937,Sean Maguire
938,Bono
939,Briana Evigan
940,Rhona Mitra
941,David Boreanaz
942,Sean Faris
943,Jim Sturgess
944,Zhang Hanyu
945,Tilda Swinton
946,Abigail Breslin
947,Drake Bell
948,Ryan Cartwright
949,Neil Dudgeon
950,Tina Fey
951,Ben Stein
952,Ben Browder
953,Liv Tyler
954,Paul McGann
955,Andy Samberg
956,Matthew Goode
957,Bradley Cooper
958,Penélope Cruz
959,Matt Lanter
960,Rainn Wilson
961,Cloris Leachman
962,Gabriel Macht
963,Kelan Pannell
964,Michael Cera
965,Saoirse Ronan
966,Josh Brolin
967,Dakota Fanning
968,Kevin Farley
969,Jennifer Carpenter
970,Rob Brown
971,Seann William Scott
972,Josh Zuckerman
973,Asa Butterfield
974,Julia Ormond
975,Ray Stevenson
976,Jensen Ackles
977,Bill Nighy
978,Kevin James
979,Odette Annable
980,Johanna Braddy
981,Kristin Kreuk
982,John Krasinski
983,Derek Mears
984,Glen Campbell
985,Paul Rudd
986,Jesse Eisenberg
987,Isla Fisher
988,Tom Sturridge
989,Zac Efron
990,Emily Blunt
991,Daveigh Chase
992,Rachel Weisz
993,Garret Dillahunt
994,Alison Lohman
995,Nicholas D'Agosto
996,Jeremy Renner
997,Larry David
998,Brianna Brown
999,Vera Farmiga
1000,Carter Jenkins
1001,Sharlto Copley
1002,Miley Cyrus
1003,Vanessa Hudgens
1004,Hayden Panettiere
1005,Ioan Gruffudd
1006,Scout Taylor-Compton
1007,Ben Foster
1008,Megan Fox
1009,Jason Bateman
1010,Bobby Campo
1011,Evan Rachel Wood
1012,Abbie Cornish
1013,Michael Stuhlbarg
1014,Ellen Page
1015,Ricky Gervais
1016,Rumer Willis
1017,Carey Mulligan
1018,Jimmy Bennett
1019,Sean Patrick Flanery
1020,Gabourey Sidibe
1021,Rain
1022,Karen Black
1023,Paul Bettany
1024,Katie Jarvis
1025,Logan Lerman
1026,Amber Valletta
1027,Matt Czuchry
1028,Amanda Seyfried
1029,Sophia Loren
1030,Alice Eve
1031,Robert Pattinson
1032,Jean Simmons
1033,Aaron Taylor-Johnson
1034,Zoe Saldana
1035,Zachary Gordon
1036,Jeffrey Dean Morgan
1037,James Purefoy
1038,Will Forte
1039,Rooney Mara
1040,Topher Grace
1041,Jaden Smith
1042,Virginia Mayo
1043,Michael Fassbender
1044,Elisabeth Shue
1045,Danny Trejo
1046,Rick Malambri
1047,Chris Riggi
1048,Emma Stone
1049,Madeline Carroll
1050,Emily Barclay
1051,Keir Gilchrist
1052,Kodi Smit-McPhee
1053,Chris Messina
1054,Frances Conroy
1055,Max Thieriot
1056,Blake Woodruff
1057,Eric Balfour
1058,Caitlin Stasey
1059,Jim Broadbent
1060,Chi Cao
1061,Alan Tudyk
1062,Bijou Phillips
1063,James McAvoy
1064,Cybill Shepherd
1065,Kim Seung-woo
1066,Emily Browning
1067,Felicity Jones
1068,Russell Brand
1069,Darci Kistler
1070,Taylor Schilling
1071,AnnaSophia Robb
1072,Kristen Wiig
1073,Minka Kelly
1074,Nick Frost
1075,Rebecca Hall
1076,Joel Courtney
1077,Danny McBride
1078,Jordana Beatty
1079,Chris Brown
1080,Selena Gomez
1081,Brendan Gleeson
1082,Brandon Routh
1083,Justin Timberlake
1084,Aqib Khan
1085,Olivia Wilde
1086,Dianna Agron
1087,Emma Bell
1088,Neil Patrick Harris
1089,Anton Yelchin
1090,杰森·莫玛
1091,Aimee Teegarden
1092,Michael Parks
1093,Demián Bichir
1094,Sarah Jessica Parker
1095,Sara Paxton
1096,Tom Hardy
1097,Jean Dujardin
1098,Michael Shannon
1099,Kenny Wormald
1100,Jamie Campbell Bower
1101,Stephen Moyer
1102,Dominic Cooper
1103,Tom Hiddleston
1104,Michelle Williams
1105,Thomas Horn
1106,Clifton Collins Jr
1107,Red Skelton
1108,Sam Worthington
1109,Gina Carano
1110,Ryan Robbins
1111,Bryan Cranston
1112,Dane DeHaan
1113,Daniel Radcliffe
1114,Oliver Cooper
1115,Roselyn Sánchez
1116,Melissa George
1117,Julia Dietze
1118,Kristen Connolly
1119,Sean Hayes
1120,Michael Ealy
1121,Karina Smulders
1122,Paula Patton
1123,Rebel Wilson
1124,Holly Marie Combs
1125,Benjamin Walker
1126,Eva Longoria
1127,Julianne Hough
1128,Garrett Hedlund
1129,Chris Pine
1130,Blake Lively
1131,Julie Delpy
1132,Danielle Panabaker
1133,Ashley Greene
1134,Anna Kendrick
1135,Henry Cavill
1136,Frank Langella
1137,Jennifer Lawrence
1138,Katy Perry
1139,Charlie Tahan
1140,Adelaide Clemens
1141,Chris Hemsworth
1142,Kathryn McCormick
1143,Jessica Chastain
1144,Nicholas Hoult
1145,Nichola Burley
1146,Alexandra Daddario
1147,Brit Marling
1148,Alden Ehrenreich
1149,Miles Teller
1150,Keri Russell
1151,Ashley Bell
1152,Mia Wasikowska
1153,Jane Levy
1154,Chadwick Boseman
1155,Simon Rex
1156,Liam James
1157,Katie Chang
1158,Steve Coogan
1159,Bradley Gregg
1160,Jason Sudeikis
1161,Liam Hemsworth
1162,Lily Collins
1163,Domhnall Gleeson
1164,Daniel Brühl
1165,Josh Holloway
1166,Bruce Dern
1167,Bill Hader
1168,Chloë Grace Moretz
1169,Benedict Cumberbatch
1170,Chiwetel Ejiofor
1171,Oscar Isaac
1172,Idris Elba
1173,Elle Fanning
1174,Victoria Justice
1175,Tom Payne
1176,Nick Pickard
1177,Jeremy Irvine
1178,Shailene Woodley
1179,Allison Miller
1180,Michelle Monaghan
1181,Yılmaz Erdoğan
1182,Kyle Catlett
1183,Kevin Hart
1184,Aaron Paul
1185,Roma Downey
1186,Kellan Lutz
1187,Karen Gillan
1188,Kevin Sorbo
1189,Gugu Mbatha-Raw
1190,Marion Cotillard
1191,Sarah Drew
1192,Lea Michele
1193,Jon Hamm
1194,Ellar Coltrane
1195,Adam Brody
1196,Brendan O'Carroll
1197,Melissa McCarthy
1198,Frank Grillo
1199,Teo Halm
1200,Ryan Guzman
1201,Jake Johnson
1202,Ashley Grace
1203,Perdita Weeks
1204,Dan Stevens
1205,Richard Armitage
1206,Dylan O'Brien
1207,Luke Evans
1208,Chris Phillips
1209,Jay Chou
1210,John Jarratt
1211,Charlie Rowe
1212,Eddie Redmayne
1213,David Oyelowo
1214,Jack O'Connell
1215,Jake T. Austin
1216,Anne Dorval
1217,Quvenzhané Wallis
1218,Justin Bieber
1219,Clancy Brown
1220,Yul Brynner
1221,Bogdan Benyuk
1222,Dermot Mulroney
1223,Mae Whitman
1224,Jonny Weston
1225,Andrew Garfield
1226,Nat Wolff
1227,Rob Corddry
1228,Maria Bello
1229,Dev Patel
1230,Bo Derek
1231,Scott Eastwood
1232,Skeet Ulrich
1233,Rupert Friend
1234,Lorenza Izzo
1235,Amy Schumer
1236,Thomas Haden Church
1237,Jakob Salvati
1238,Hrithik Roshan
1239,Alan Young
1240,Ed Helms
1241,Sanjay Dutt
1242,Vera Brezhneva
1243,J. Michael Trautmann
1244,James Badge Dale
1245,David Thewlis
1246,Emma Watson
1247,Olivia Taylor Dudley
1248,Brie Larson
1249,Anya Taylor-Joy
1250,Shannyn Sossamon
1251,O'Shea Jackson Jr.
1252,Magdalena Mielcarz
1253,Tye Sheridan
1254,Ed Skrein
1255,Jason Clarke
1256,Chris J. Murray
1257,Aubrey Peeples
1258,Noah Schnapp
1259,Michael B. Jordan
1260,Dakota Johnson
1261,Jeff Speakman
1262,Lily James
1263,Natalie Dormer
1264,Taron Egerton
1265,Lauren Cohan
1266,Tom Felton
1267,Nate Parker
1268,Emilia Clarke
1269,Stephan James
1270,Adam Greaves-Neal
1271,Imran Khan
1272,John Corbett
1273,Jordan Peele
1274,Blake Jenner
1275,Ferdia Walsh-Peelo
1276,Adam Driver
1277,Ajith Kumar
1278,James Arnold Taylor
1279,Paul Dano
1280,Patrick Wilson
1281,Elizabeth Mitchell
1282,Mila Kunis
1283,Claire Holt
1284,Dinesh D'Souza
1285,Hailee Steinfeld
1286,Jamie Dornan
1287,Alycia Debnam-Carey
1288,Dennis Alwood
1289,Zach Galifianakis
1290,Art Parkinson
1291,Kate Mara
1292,Madina Nalwanga
1293,Griffin Gluck
1294,Hayley Orrantia
1295,Cynthia Nixon
1296,Betty Grable
1297,Sam Hennings
1298,Joe Alwyn
