title,lead,director,genre,revenue,budget,profit_ratio,director_average_profit_ratio,lead_average_profit_ratio,lead_worked_in_genre_count,director_worked_in_genre_count,director_worked_with_lead_count
The Swan Princess,76,91,1,9771658.0,35000000.0,0.27919022857142856,0.37959511428571424,0.27919022857142856,1,2,1.0
The Specialist,16,92,4,170362582.0,45000000.0,3.7858351555555556,3.4138705444444444,2.825168668471759,19,1,1.0
Stargate,77,93,4,196567262.0,55000000.0,3.5739502181818184,2.0435598924242426,1.867476349114869,12,1,1.0
The Santa Clause,78,94,9,189833357.0,22000000.0,8.628788954545454,8.628788954545454,2.880009462225691,2,1,1.0
The Shawshank Redemption,79,95,6,28341469.0,25000000.0,1.13365876,2.391825516388889,1.6285090483333333,2,2,1.0
Tank Girl,80,96,4,4064495.0,25000000.0,0.1625798,1.6663823090909091,0.1625798,1,1,1.0
Star Trek: Generations,81,97,8,120000000.0,38000000.0,3.1578947368421053,3.1578947368421053,3.407369896851186,4,1,1.0
Tales from the Hood,82,98,7,12000000.0,6000000.0,2.0,2.0,2.0,1,1,1.0
What's Eating Gilbert Grape,35,99,13,10032765.0,11000000.0,0.9120695454545454,3.8787017351859503,1.5617758065503715,3,2,1.0
Virtuosity,48,77,4,24048000.0,30000000.0,0.8016,1.6083723333333335,2.1880721370462943,8,1,1.0
While You Were Sleeping,55,100,3,182057016.0,17000000.0,10.709236235294117,6.478902258734648,4.648968251892304,6,3,1.0
Muriel's Wedding,83,101,6,15119639.0,3000000.0,5.039879666666667,5.208071387573099,5.039879666666667,1,1,1.0
Ace Ventura: Pet Detective,13,102,3,107217396.0,15000000.0,7.1478264,4.235448899111111,3.5054494142639347,10,3,2.0
Bitter Moon,84,103,12,1862805.0,5000000.0,0.372561,2.7713707115181467,1.5801004252617539,1,2,1.0
Clear and Present Danger,85,104,4,215887717.0,62000000.0,3.482059951612903,2.3177414414643716,3.6757163228353873,5,1,2.0
The Client,21,105,6,117615211.0,45000000.0,2.6136713555555557,2.457312924151294,2.234355698482653,4,3,1.0
The Crow,86,106,9,94000000.0,15000000.0,6.266666666666667,3.4610043392592593,3.8511572833333334,1,1,1.0
The Flintstones,87,107,9,341631208.0,46000000.0,7.426765391304348,2.9965345644893544,7.105382695652174,1,1,1.0
I Love Trouble,67,108,4,61947267.0,45000000.0,1.3766059333333334,0.7999357916666667,2.6882548258503403,1,1,1.0
Little Buddha,52,109,6,4858139.0,35000000.0,0.13880397142857143,0.7855607060455487,2.7770370845566057,6,3,1.0
New Nightmare,88,37,10,18090181.0,14000000.0,1.2921557857142858,3.2462260440912023,1.2921557857142858,1,7,1.0
The Naked Gun 33⅓: The Final Insult,89,110,3,51132598.0,30000000.0,1.7044199333333334,2.1041885607536917,4.015672590096618,3,5,1.0
Reality Bites,24,111,6,20079850.0,11500000.0,1.7460739130434784,1.8931040494077596,1.5598108757763975,2,1,1.0
Red Rock West,17,112,7,2000000.0,8000000.0,0.25,0.8974238122463769,1.9712462512714177,4,1,1.0
Speed,52,113,4,350448145.0,30000000.0,11.681604833333333,4.822963760891813,2.7770370845566057,5,2,1.0
Timecop,5,5,12,101646581.0,27000000.0,3.764688185185185,1.2474180869725529,2.4672083983288373,3,2,2.0
Wyatt Earp,90,114,6,25052000.0,63000000.0,0.39765079365079364,0.7555565438842203,2.3886601822748914,9,2,1.0
A Low Down Dirty Shame,91,115,4,29392418.0,10000000.0,2.9392418,5.070782719409179,1.70638526,2,1,1.0
Jason's Lyric,92,116,7,20851521.0,7000000.0,2.9787887142857143,2.9787887142857143,2.9787887142857143,1,1,1.0
Street Fighter,5,117,4,99423521.0,35000000.0,2.8406720285714284,2.8406720285714284,2.4672083983288373,8,1,1.0
Highlander: The Final Dimension,22,118,4,36800000.0,26000000.0,1.4153846153846155,1.4153846153846155,1.7612464082122508,5,1,1.0
In the Mouth of Madness,93,119,10,8946600.0,8000000.0,1.118325,2.2232268285173165,2.541855021505376,1,3,1.0
The Age of Innocence,94,10,6,32255440.0,34000000.0,0.9486894117647059,2.209111404155471,2.6349834703167416,3,10,1.0
The Air Up There,95,120,3,21011500.0,17080000.0,1.2301814988290398,1.067137181176304,3.248980916940623,1,1,1.0
Beverly Hills Cop III,37,121,4,119208989.0,50000000.0,2.38417978,2.4086086801130167,2.8424076807377565,5,2,3.0
A Bronx Tale,10,122,6,17287898.0,22000000.0,0.7858135454545454,0.7453100962566845,2.00568133736033,8,2,1.0
Calendar Girl,96,123,6,2570145.0,13000000.0,0.19770346153846155,2.089053899679487,0.19770346153846155,1,1,1.0
Carlito's Way,4,124,4,36516012.0,30000000.0,1.2172004,1.746499177110926,2.77357352398917,3,2,2.0
Cliffhanger,16,9,4,255000211.0,70000000.0,3.642860157142857,2.02427800787436,2.825168668471759,19,10,1.0
Color of Night,19,125,6,19726050.0,40000000.0,0.49315125,0.49315125,2.4501322054249046,2,1,1.0
Dazed and Confused,97,71,3,7993039.0,6900000.0,1.1584114492753623,2.91427005524932,0.8871781413043478,2,6,1.0
Demolition Man,16,126,7,159055768.0,57000000.0,2.7904520701754385,2.7904520701754385,2.825168668471759,1,1,1.0
For Love or Money,98,15,3,11146270.0,30000000.0,0.3715423333333333,2.4083379512534435,4.307158111574075,2,3,1.0
The Firm,99,127,6,270248367.0,42000000.0,6.434484928571429,3.6920635722254223,4.492738524294103,7,5,1.0
Free Willy,100,128,14,153698625.0,20000000.0,7.68493125,2.564339281299466,7.68493125,1,1,1.0
The Fugitive,85,42,2,368875760.0,44000000.0,8.38354,2.583754567394958,3.6757163228353873,2,1,1.0
Geronimo: An American Legend,101,129,5,18635620.0,35000000.0,0.5324462857142858,1.877108832219578,2.088996635207929,1,1,1.0
Hard Target,5,38,4,74189677.0,18000000.0,4.121648722222222,2.950625088472222,2.4672083983288373,8,4,1.0
Hot Shots! Part Deux,102,130,4,133752825.0,25000000.0,5.350113,4.738450025641026,2.441380391908832,5,2,2.0
In the Line of Fire,103,87,4,176997168.0,40000000.0,4.4249292,2.2512132223600383,4.4901584508114265,8,3,1.0
In the Name of the Father,94,131,6,65796862.0,13000000.0,5.0612970769230765,2.1646243557692304,2.6349834703167416,3,4,1.0
Kalifornia,25,132,12,2395231.0,9000000.0,0.2661367777777778,1.3523421444444446,2.949390394173641,1,1,1.0
Last Action Hero,68,55,2,137298489.0,85000000.0,1.6152763411764706,3.7505103664775916,4.266287761831662,4,1,2.0
Manhattan Murder Mystery,28,28,3,11285588.0,13500000.0,0.8359694814814815,3.4662135136385013,2.942049478547133,9,13,11.0
Menace II Society,104,133,6,27900000.0,3500000.0,7.9714285714285715,4.021835788690476,7.9714285714285715,1,1,1.0
Executive Decision,77,134,4,121969216.0,55000000.0,2.217622109090909,1.6818753196969698,1.867476349114869,12,1,1.0
The Next Karate Kid,105,135,2,15826984.0,12000000.0,1.3189153333333334,2.3797132051282053,1.3189153333333334,1,1,1.0
No Escape,106,6,4,15340000.0,20000000.0,0.767,2.5307298922411277,0.4432317942760943,2,4,1.0
A Perfect World,90,40,7,135130999.0,30000000.0,4.504366633333333,3.849782014352873,2.3886601822748914,2,5,1.0
Philadelphia,1,136,6,206678440.0,26000000.0,7.949170769230769,5.589982641273053,4.655450037545514,3,2,1.0
Poetic Justice,107,137,6,27515786.0,14000000.0,1.9654132857142856,2.8655722605013394,1.9654132857142856,1,2,1.0
The Ref,108,138,3,11439193.0,11000000.0,1.0399266363636364,1.176034524778445,1.0399266363636364,1,2,1.0
The Remains of the Day,8,81,6,23237911.0,11500000.0,2.0206879130434783,2.327586523647774,2.0778797116921046,5,4,2.0
Renaissance Man,109,139,3,24332324.0,40000000.0,0.6083081,2.7335606500000003,1.5903304164835164,3,3,1.0
RoboCop 3,110,140,4,10696210.0,22000000.0,0.4861913636363636,0.4001785984848485,0.4861913636363636,1,1,1.0
Robin Hood: Men in Tights,111,141,3,35739755.0,20000000.0,1.78698775,3.8704507394329077,1.994611263888889,1,4,1.0
Romeo Is Bleeding,112,142,4,3275585.0,11500000.0,0.2848334782608696,0.4162104534161491,2.0225060789402174,1,1,1.0
